,Date,Manner of Death,Armed,Age,Gender,Race,City,State,Signs of Mental Illness,Threat Level,Flee,Body Camera,Longitude,Latitude,Is Geocoding Exact
113,2015-02-15,Shot,Hatchet,34.0,Male,"White, non-Hispanic",Colton,Oregon,True,Other,Not fleeing,False,-122.43700000000001,45.175,True
114,2015-02-15,Shot and Tasered,Unarmed,25.0,Male,"Black, non-Hispanic",Miami Gardens,Florida,True,Other,Not fleeing,False,-80.208,25.951,True
115,2015-02-16,Shot,Gun,56.0,Male,"White, non-Hispanic",Marana,Arizona,False,Attack,Not fleeing,False,-111.09,32.359,True
116,2015-02-16,Shot,Gun,26.0,Male,"White, non-Hispanic",Boise,Idaho,False,Attack,Not fleeing,False,-116.22200000000001,43.57899999999999,True
117,2015-02-16,Shot,Toy Weapon,24.0,Male,"White, non-Hispanic",Provo,Utah,True,Attack,Not fleeing,False,-111.624,40.103,True
118,2015-02-17,Shot,Gun,43.0,Female,"White, non-Hispanic",Gaston County,North Carolina,False,Attack,Not fleeing,False,-81.169,35.229,True
119,2015-02-17,Shot,Unarmed,31.0,Male,"White, non-Hispanic",Springfield,Missouri,False,Other,Foot,False,-93.319,37.225,True
120,2015-02-17,Shot,Gun,32.0,Male,"White, non-Hispanic",Eaton Rapids Township,Michigan,False,Attack,Not fleeing,False,-84.70100000000001,42.513999999999996,True
121,2015-02-17,Shot,Toy Weapon,30.0,Male,"White, non-Hispanic",Tewksbury,Massachusetts,False,Attack,Foot,False,-71.28399999999999,42.614,True
122,2015-02-17,Shot,,50.0,Male,Hispanic,Del Rio,Texas,False,Other,Not fleeing,False,-100.831,29.369,True
123,2015-02-18,Shot,Knife,20.0,Female,"Black, non-Hispanic",Charlotte,North Carolina,True,Other,Not fleeing,False,-80.819,35.25,True
124,2015-02-20,Shot,Unarmed,31.0,Male,Hispanic,Euless,Texas,False,Other,Not fleeing,False,-97.1,32.874,True
125,2015-02-20,Shot,Gun,38.0,Male,"Black, non-Hispanic",Homewood,Alabama,False,Attack,Not fleeing,False,-86.824,33.482,True
126,2015-02-20,Shot,Gun,77.0,Male,"Black, non-Hispanic",Birmingham,Alabama,True,Attack,Not fleeing,False,-86.72399999999999,33.564,True
127,2015-02-20,Shot,Gun,,Male,Hispanic,Houston,Texas,False,Attack,Car,False,-95.40100000000001,29.983,True
128,2015-02-21,Shot,Gun,41.0,Male,"White, non-Hispanic",Ruidoso,New Mexico,False,Attack,Not fleeing,False,-105.665,33.448,True
129,2015-02-21,Shot,Knife,51.0,Male,"White, non-Hispanic",Indianapolis,Indiana,False,Attack,Not fleeing,False,-85.992,39.793,True
130,2015-02-22,Shot,Gun,50.0,Male,"White, non-Hispanic",Palm Bay,Florida,False,Attack,Not fleeing,False,-80.645,27.99,True
131,2015-02-23,Shot,Gun,47.0,Male,"White, non-Hispanic",Denham Springs,Louisiana,True,Attack,Not fleeing,False,-90.956,30.455,True
132,2015-02-23,Shot,Knife,37.0,Male,"White, non-Hispanic",Powder Springs,Georgia,False,Other,Not fleeing,False,-84.695,33.911,True
133,2015-02-23,Shot,Gun,41.0,Male,"White, non-Hispanic",Clarkesville,Georgia,False,Attack,Foot,False,-83.598,34.631,True
134,2015-02-23,Shot,Gun,16.0,Male,"Black, non-Hispanic",Millbrook,Alabama,False,Attack,Not fleeing,False,-86.36200000000001,32.53,True
135,2015-02-23,Shot and Tasered,Knife,42.0,Male,"White, non-Hispanic",Allentown,Pennsylvania,False,Attack,Car,False,-75.433,40.632,True
136,2015-02-23,Shot and Tasered,Unarmed,39.0,Male,"White, non-Hispanic",Omaha,Nebraska,False,Other,Not fleeing,False,-95.93299999999999,41.244,True
137,2015-02-24,Shot and Tasered,Knife,30.0,Male,"White, non-Hispanic",Green Bay,Wisconsin,True,Attack,Not fleeing,False,-88.05799999999999,44.527,True
138,2015-02-25,Shot,,27.0,Male,"Black, non-Hispanic",Oklahoma City,Oklahoma,False,Other,Car,False,-97.552,35.497,True
139,2015-02-25,Shot,Gun,43.0,Male,"White, non-Hispanic",Las Vegas,Nevada,True,Attack,Not fleeing,False,-115.055,36.241,True
140,2015-02-26,Shot,Gun,42.0,Male,Hispanic,Lakeland,Florida,False,Attack,Foot,False,-81.95,28.104,True
141,2015-02-26,Shot,Knife,21.0,Male,Hispanic,San Francisco,California,False,Other,Not fleeing,False,-122.414,37.751,True
142,2015-02-26,Shot,Unarmed,49.0,Male,"White, non-Hispanic",Gulfport,Mississippi,False,Other,Not fleeing,False,-89.09200000000001,30.425,True
143,2015-02-26,Shot,Gun,34.0,Female,"White, non-Hispanic",Sylvester,Georgia,False,Attack,Car,False,-83.902,31.55,True
144,2015-02-26,Shot and Tasered,Unarmed,31.0,Male,"White, non-Hispanic",Terre Haute,Indiana,False,Other,Not fleeing,False,-87.37899999999999,39.463,True
145,2015-02-27,Shot,Unarmed,27.0,Male,Hispanic,Santa Ana,California,False,,Not fleeing,False,-117.87899999999999,33.747,True
146,2015-02-28,Shot,Gun,24.0,Male,"White, non-Hispanic",Pelzer,South Carolina,False,Attack,Not fleeing,False,-82.40799999999999,34.633,True
147,2015-02-28,Shot,Unarmed,34.0,Male,"Black, non-Hispanic",St Louis,Missouri,False,Other,Car,False,-90.23200000000001,38.598,True
148,2015-02-28,Shot,Knife,28.0,Female,Hispanic,Tucson,Arizona,False,Other,Not fleeing,False,-110.99,32.23,True
149,2015-02-28,Shot,Gun,28.0,Male,"Black, non-Hispanic",Columbia,Missouri,False,Attack,Car,False,-92.294,38.946,True
150,2015-02-28,Shot,Gun,40.0,Male,"Black, non-Hispanic",Tarboro,North Carolina,True,Attack,Car,False,-77.548,35.918,True
151,2015-02-28,Shot,Gun,37.0,Female,"White, non-Hispanic",La Paz County,Arizona,False,Attack,Car,False,-114.45100000000001,33.619,True
152,2015-02-28,Shot and Tasered,Unarmed,17.0,Male,"White, non-Hispanic",Roxand Township,Michigan,False,Attack,Not fleeing,True,-84.837,42.756,True
